step,sharpe
0,0.061546649783849716
25,0.07234782725572586
50,0.0723472312092781
75,0.07234753668308258
100,0.0723477452993393
125,0.06419172883033752
150,0.07234854996204376
175,0.0723487064242363
200,0.07234928011894226
225,0.07234933227300644
250,0.07235007733106613
275,0.0723503977060318
300,0.07634291797876358
325,0.06419535726308823
350,0.07235120236873627
375,0.06998755037784576
400,0.07235188782215118
425,0.07452766597270966
450,0.03657472878694534
475,0.0676225945353508
500,0.05196636915206909
525,0.08157432079315186
550,0.07814455777406693
575,0.09002429991960526
