product,depth_ticks,alpha,final_pnl,mean_increment,vol_increment,sharpe_empirical,portfolio_value_vol,inventory_final
EMERALDS,-2.0,0.74,4880.0,0.244,5.5675276380095315,0.043825557027182244,1353.9409926421747,-8.0
EMERALDS,-2.0,0.76,4297.0,0.21485,5.065746685089969,0.04241230629087096,1217.931548420288,-5.0
EMERALDS,-2.0,0.78,4297.0,0.21485,5.065746685089969,0.04241230629087096,1217.931548420288,-5.0
EMERALDS,-2.0,0.8,4239.0,0.21195,5.06232428806176,0.04186811984760275,1204.6204628393948,-5.0
EMERALDS,-2.0,0.82,4208.0,0.2104,5.063253088677278,0.041554312280084896,1195.3496178883972,-5.0
EMERALDS,-2.0,0.84,3974.0,0.1987,5.022202535740668,0.039564314379188205,1131.3648209462224,-5.0
EMERALDS,-2.0,0.86,3974.0,0.1987,5.022202535740668,0.039564314379188205,1131.3648209462224,-5.0
EMERALDS,-2.0,0.88,3777.0,0.18885,4.993294070801358,0.03782072462030902,1071.742044644222,-5.0
EMERALDS,-2.0,0.9,3777.0,0.18885,4.993294070801358,0.03782072462030902,1071.742044644222,-5.0
EMERALDS,-2.0,0.92,3583.0,0.17915,4.98317722718147,0.035950958963048736,1012.7675056131972,-5.0
EMERALDS,-2.0,0.94,3494.0,0.1747,4.985637362464302,0.03504065524606251,990.1603647293504,-5.0
EMERALDS,-2.0,0.96,3476.0,0.1738,4.989568474327214,0.034832671581570974,984.0633169017619,-5.0
EMERALDS,-2.0,0.98,3476.0,0.1738,4.989568474327214,0.034832671581570974,984.0633169017619,-5.0
EMERALDS,-2.0,1.0,3476.0,0.1738,4.989568474327214,0.034832671581570974,984.0633169017619,-5.0
EMERALDS,-1.9183673469387754,0.0,11116.0,0.5558,13.138427849632544,0.04230338716024875,3160.9119879144355,-20.0
EMERALDS,-1.9183673469387754,0.02,11116.0,0.5558,13.138427849632544,0.04230338716024875,3160.9119879144355,-20.0
EMERALDS,-1.9183673469387754,0.04,11062.0,0.5531,13.12960701582496,0.042126165644817484,3141.834438614944,-20.0
EMERALDS,-1.9183673469387754,0.06,10933.0,0.54665,13.11329187418247,0.041686710342827636,3104.6025778782664,-20.0
EMERALDS,-1.9183673469387754,0.08,10749.0,0.53745,12.944149160817794,0.041520689643076134,3055.90587529606,-20.0
EMERALDS,-1.9183673469387754,0.1,10437.0,0.52185,11.964184994286072,0.04361768062339627,2963.380928742023,-19.0
EMERALDS,-1.9183673469387754,0.12,10018.0,0.5009,10.795563866236908,0.04639868803579248,2821.7807738334313,-15.0
EMERALDS,-1.9183673469387754,0.14,10015.0,0.50075,10.421463401917217,0.04804987367780594,2820.667265631505,-14.0
EMERALDS,-1.9183673469387754,0.16,9284.0,0.4642,9.518362167936246,0.048768894459985335,2610.6220306397304,-12.0
EMERALDS,-1.9183673469387754,0.18,9165.0,0.45825,8.855493037516318,0.05174754223831725,2573.3136438603806,-11.0
EMERALDS,-1.9183673469387754,0.2,8914.0,0.4457,8.819022140237545,0.05053848294205494,2497.820832781282,-11.0
EMERALDS,-1.9183673469387754,0.22,8764.0,0.4382,8.282100021129907,0.052909286157137886,2433.7380717262236,-13.0
EMERALDS,-1.9183673469387754,0.24,8508.0,0.4254,7.762514723979595,0.05480182841855029,2385.015241151112,-9.0
EMERALDS,-1.9183673469387754,0.26,8448.0,0.4224,7.7565377740329495,0.05445728652467794,2369.103934439981,-9.0
EMERALDS,-1.9183673469387754,0.28,8260.0,0.413,7.729549210659052,0.053431317757893664,2312.9261241558447,-9.0
EMERALDS,-1.9183673469387754,0.3,7688.0,0.3844,6.963658279956018,0.05520087065536304,2119.2321967782955,-8.0
EMERALDS,-1.9183673469387754,0.32,7578.0,0.3789,6.945735007182465,0.05455146209986215,2092.2241884910877,-8.0
EMERALDS,-1.9183673469387754,0.34,7465.0,0.37325,6.932253200619551,0.05384252265434301,2063.995130372257,-8.0
EMERALDS,-1.9183673469387754,0.36,7034.0,0.3517,6.616291038792051,0.05315667009476212,1974.2142506226567,-8.0
EMERALDS,-1.9183673469387754,0.38,6953.0,0.34765,6.604520382094372,0.05263819019205692,1953.7605993033274,-8.0
EMERALDS,-1.9183673469387754,0.4,6736.0,0.3368,6.568848130380242,0.05127230730793347,1900.096516745094,-8.0
EMERALDS,-1.9183673469387754,0.42,6863.0,0.34315,6.6114066640541775,0.0519027216803477,1936.006690019017,-8.0
EMERALDS,-1.9183673469387754,0.44,6731.0,0.33655,6.593639669977425,0.05104161234839699,1899.329128879721,-8.0
EMERALDS,-1.9183673469387754,0.46,6616.0,0.3308,6.582041579935514,0.05025796266744959,1862.3704087860926,-8.0
EMERALDS,-1.9183673469387754,0.48,6150.0,0.3075,5.755071133357085,0.0534311380128202,1706.4721480731637,-8.0
EMERALDS,-1.9183673469387754,0.5,6150.0,0.3075,5.755071133357085,0.0534311380128202,1706.4721480731637,-8.0
EMERALDS,-1.9183673469387754,0.52,5883.0,0.29415,5.714370112050846,0.0514754897271489,1637.0806036827844,-8.0
EMERALDS,-1.9183673469387754,0.54,5715.0,0.28575,5.677728149312892,0.05032822855997093,1592.7978755344823,-8.0
EMERALDS,-1.9183673469387754,0.56,5707.0,0.28535,5.677598557268732,0.05025892498769243,1591.36702543439,-8.0
EMERALDS,-1.9183673469387754,0.58,5667.0,0.28335,5.67634237669822,0.049917707776608304,1579.9629358656614,-8.0
EMERALDS,-1.9183673469387754,0.6,5411.0,0.27055,5.624833570649002,0.04809920091000729,1500.7348060804673,-8.0
EMERALDS,-1.9183673469387754,0.62,5411.0,0.27055,5.624833570649002,0.04809920091000729,1500.7348060804673,-8.0
EMERALDS,-1.9183673469387754,0.64,5363.0,0.26815,5.621436255753506,0.04770133250653694,1488.1301667146056,-8.0
EMERALDS,-1.9183673469387754,0.66,5104.0,0.2552,5.585451902934981,0.04569012578300072,1415.6942356762413,-8.0
EMERALDS,-1.9183673469387754,0.68,5104.0,0.2552,5.585451902934981,0.04569012578300072,1415.6942356762413,-8.0
EMERALDS,-1.9183673469387754,0.7,5064.0,0.2532,5.585847273243335,0.04532884406146381,1404.2919328803075,-8.0
EMERALDS,-1.9183673469387754,0.72,4587.0,0.22935,5.1175236763008725,0.04481659773497761,1296.0975747025907,-5.0
EMERALDS,-1.9183673469387754,0.74,4569.0,0.22845,5.119449247477701,0.04462394077108097,1289.9910949367054,-5.0
EMERALDS,-1.9183673469387754,0.76,4569.0,0.22845,5.119449247477701,0.04462394077108097,1289.9910949367054,-5.0
EMERALDS,-1.9183673469387754,0.78,4487.0,0.22435,5.112564628197868,0.04388208586403363,1266.1883926468288,-5.0
EMERALDS,-1.9183673469387754,0.8,4239.0,0.21195,5.06232428806176,0.04186811984760275,1204.6204628393948,-5.0
EMERALDS,-1.9183673469387754,0.82,4239.0,0.21195,5.06232428806176,0.04186811984760275,1204.6204628393948,-5.0
EMERALDS,-1.9183673469387754,0.84,4208.0,0.2104,5.063253088677278,0.041554312280084896,1195.3496178883972,-5.0
EMERALDS,-1.9183673469387754,0.86,4190.0,0.2095,5.066163217860238,0.04135279322652481,1189.2451596242677,-5.0
EMERALDS,-1.9183673469387754,0.88,3974.0,0.1987,5.022202535740668,0.039564314379188205,1131.3648209462224,-5.0
EMERALDS,-1.9183673469387754,0.9,3777.0,0.18885,4.993294070801358,0.03782072462030902,1071.742044644222,-5.0
EMERALDS,-1.9183673469387754,0.92,3665.0,0.18325,4.985445761163188,0.03675699401396049,1036.573343068438,-5.0
EMERALDS,-1.9183673469387754,0.94,3583.0,0.17915,4.98317722718147,0.035950958963048736,1012.7675056131972,-5.0
EMERALDS,-1.9183673469387754,0.96,3476.0,0.1738,4.989568474327214,0.034832671581570974,984.0633169017619,-5.0
EMERALDS,-1.9183673469387754,0.98,3476.0,0.1738,4.989568474327214,0.034832671581570974,984.0633169017619,-5.0
EMERALDS,-1.9183673469387754,1.0,3476.0,0.1738,4.989568474327214,0.034832671581570974,984.0633169017619,-5.0
EMERALDS,-1.836734693877551,0.0,11116.0,0.5558,13.138427849632544,0.04230338716024875,3160.9119879144355,-20.0
EMERALDS,-1.836734693877551,0.02,11151.0,0.55755,13.140654017114215,0.04242939501137875,3170.7196068296544,-20.0
EMERALDS,-1.836734693877551,0.04,11184.0,0.5592,13.147090756513398,0.04253412487648329,3179.8418729700993,-20.0
EMERALDS,-1.836734693877551,0.06,11112.0,0.5556,13.13400581087126,0.04230240248105567,3156.94499174026,-20.0
EMERALDS,-1.836734693877551,0.08,10882.0,0.5441,12.67747037819454,0.04291865677997253,3083.1384951992404,-20.0
EMERALDS,-1.836734693877551,0.1,10503.0,0.52515,11.72940610080067,0.04477208781816774,2965.9996505777203,-17.0
EMERALDS,-1.836734693877551,0.12,10182.0,0.5091,10.820786348043288,0.047048336749764955,2864.4772146098494,-15.0
EMERALDS,-1.836734693877551,0.14,9939.0,0.49695,10.105745430075903,0.0491749968805881,2793.0460882418315,-14.0
EMERALDS,-1.836734693877551,0.16,9481.0,0.47405,9.549451638575903,0.04964159387802235,2671.4682443664715,-12.0
EMERALDS,-1.836734693877551,0.18,9374.0,0.4687,8.896702777433894,0.052682438845640375,2638.6132278153214,-11.0
EMERALDS,-1.836734693877551,0.2,8970.0,0.4485,8.311404679715698,0.053961997674662796,2493.1227461866993,-13.0
EMERALDS,-1.836734693877551,0.22,8859.0,0.44295,8.295350824256921,0.053397379976353014,2460.221214055959,-13.0
EMERALDS,-1.836734693877551,0.24,8561.0,0.42805,7.769737653067831,0.055091950219321395,2399.2348920820905,-9.0
EMERALDS,-1.836734693877551,0.26,8508.0,0.4254,7.762514723979595,0.05480182841855029,2385.015241151112,-9.0
EMERALDS,-1.836734693877551,0.28,7871.0,0.39355,7.000083456466787,0.05622075828773618,2174.341220030034,-8.0
EMERALDS,-1.836734693877551,0.3,7794.0,0.3897,6.986210268092424,0.05578131562684945,2152.034711116668,-8.0
EMERALDS,-1.836734693877551,0.32,7788.0,0.3894,6.9855828418250105,0.055743380161284835,2149.5158521071576,-8.0
EMERALDS,-1.836734693877551,0.34,7206.0,0.3603,6.660689447046755,0.05409349930880675,2024.5284263251128,-8.0
EMERALDS,-1.836734693877551,0.36,7206.0,0.3603,6.660689447046755,0.05409349930880675,2024.5284263251128,-8.0
EMERALDS,-1.836734693877551,0.38,7193.0,0.35965,6.659579707271322,0.054004909590212265,2020.1582210214106,-8.0
EMERALDS,-1.836734693877551,0.4,7112.0,0.3556,6.64789054061512,0.05349065208391606,1999.7083553536402,-8.0
EMERALDS,-1.836734693877551,0.42,6895.0,0.34475,6.612465307092355,0.05213637939698985,1946.0403628300664,-8.0
EMERALDS,-1.836734693877551,0.44,6863.0,0.34315,6.6114066640541775,0.0519027216803477,1936.006690019017,-8.0
EMERALDS,-1.836734693877551,0.46,6158.0,0.3079,5.755492819038175,0.05349672211935006,1707.9084825445857,-8.0
EMERALDS,-1.836734693877551,0.48,6150.0,0.3075,5.755071133357085,0.0534311380128202,1706.4721480731637,-8.0
EMERALDS,-1.836734693877551,0.5,6150.0,0.3075,5.755071133357085,0.0534311380128202,1706.4721480731637,-8.0
EMERALDS,-1.836734693877551,0.52,6102.0,0.3051,5.749279432241923,0.05306751978152273,1693.869027906231,-8.0
EMERALDS,-1.836734693877551,0.54,5883.0,0.29415,5.714370112050846,0.0514754897271489,1637.0806036827844,-8.0
EMERALDS,-1.836734693877551,0.56,5715.0,0.28575,5.677728149312892,0.05032822855997093,1592.7978755344823,-8.0
EMERALDS,-1.836734693877551,0.58,5707.0,0.28535,5.677598557268732,0.05025892498769243,1591.36702543439,-8.0
EMERALDS,-1.836734693877551,0.6,5667.0,0.28335,5.67634237669822,0.049917707776608304,1579.9629358656614,-8.0
EMERALDS,-1.836734693877551,0.62,5557.0,0.27785,5.6632984538606115,0.04906151463915742,1545.4591175591024,-8.0
EMERALDS,-1.836734693877551,0.64,5509.0,0.27545,5.659927322634099,0.04866670264447973,1532.8569848923275,-8.0
EMERALDS,-1.836734693877551,0.66,5509.0,0.27545,5.659927322634099,0.04866670264447973,1532.8569848923275,-8.0
EMERALDS,-1.836734693877551,0.68,4730.0,0.2365,5.132062718829535,0.046082835101036786,1340.576749594031,-5.0
EMERALDS,-1.836734693877551,0.7,4730.0,0.2365,5.132062718829535,0.046082835101036786,1340.576749594031,-5.0
EMERALDS,-1.836734693877551,0.72,4699.0,0.23495,5.131281369940651,0.0457877834133889,1331.2645941526566,-5.0
EMERALDS,-1.836734693877551,0.74,4587.0,0.22935,5.1175236763008725,0.04481659773497761,1296.0975747025907,-5.0
EMERALDS,-1.836734693877551,0.76,4569.0,0.22845,5.119449247477701,0.04462394077108097,1289.9910949367054,-5.0
EMERALDS,-1.836734693877551,0.78,4487.0,0.22435,5.112564628197868,0.04388208586403363,1266.1883926468288,-5.0
EMERALDS,-1.836734693877551,0.8,4487.0,0.22435,5.112564628197868,0.04388208586403363,1266.1883926468288,-5.0
EMERALDS,-1.836734693877551,0.82,4429.0,0.22145,5.109178984680415,0.043343558850454315,1252.8850452942352,-5.0
EMERALDS,-1.836734693877551,0.84,4208.0,0.2104,5.063253088677278,0.041554312280084896,1195.3496178883972,-5.0
EMERALDS,-1.836734693877551,0.86,4190.0,0.2095,5.066163217860238,0.04135279322652481,1189.2451596242677,-5.0
EMERALDS,-1.836734693877551,0.88,4190.0,0.2095,5.066163217860238,0.04135279322652481,1189.2451596242677,-5.0
EMERALDS,-1.836734693877551,0.9,3974.0,0.1987,5.022202535740668,0.039564314379188205,1131.3648209462224,-5.0
EMERALDS,-1.836734693877551,0.92,3777.0,0.18885,4.993294070801358,0.03782072462030902,1071.742044644222,-5.0
EMERALDS,-1.836734693877551,0.94,3665.0,0.18325,4.985445761163188,0.03675699401396049,1036.573343068438,-5.0
EMERALDS,-1.836734693877551,0.96,3494.0,0.1747,4.985637362464302,0.03504065524606251,990.1603647293504,-5.0
EMERALDS,-1.836734693877551,0.98,3476.0,0.1738,4.989568474327214,0.034832671581570974,984.0633169017619,-5.0
EMERALDS,-1.836734693877551,1.0,3476.0,0.1738,4.989568474327214,0.034832671581570974,984.0633169017619,-5.0
EMERALDS,-1.7551020408163265,0.0,11116.0,0.5558,13.138427849632544,0.04230338716024875,3160.9119879144355,-20.0
