step,sharpe
0,0.09146035462617874
25,0.09073450416326523
50,0.08905212581157684
75,0.08905212581157684
100,0.09073453396558762
125,0.09073453396558762
150,0.09073449671268463
175,0.08905212581157684
200,0.09073453396558762
225,0.09073453396558762
250,0.09073453396558762
275,0.09073453396558762
300,0.09073443710803986
325,0.09073453396558762
350,0.09073439985513687
375,0.09073456376791
400,0.09073456376791
425,0.09073456376791
450,0.09073456376791
475,0.09073445945978165
500,0.0907345861196518
525,0.08905213326215744
550,0.08905214816331863
575,0.08905243873596191
